600028.SH,中国石化
600030.SH,中信证券
600031.SH,三一重工
600036.SH,招商银行
600048.SH,保利发展
600050.SH,中国联通
600150.SH,中国船舶
600276.SH,恒瑞医药
600309.SH,万华化学
600406.SH,国电南瑞
600438.SH,通威股份
600519.SH,贵州茅台
600690.SH,海尔智家
600809.SH,山西汾酒
600887.SH,伊利股份
600900.SH,长江电力
600941.SH,中国移动
601012.SH,隆基绿能
601088.SH,中国神华
601127.SH,赛力斯
601166.SH,兴业银行
601225.SH,陕西煤业
601288.SH,农业银行
601318.SH,中国平安
601328.SH,交通银行
601390.SH,中国中铁
601398.SH,工商银行
601601.SH,中国太保
601628.SH,中国人寿
601633.SH,长城汽车
601658.SH,邮储银行
601668.SH,中国建筑
601728.SH,中国电信
601766.SH,中国中车
601816.SH,京沪高铁
601857.SH,中国石油
601888.SH,中国中免
601899.SH,紫金矿业
601919.SH,中远海控
601985.SH,中国核电
601988.SH,中国银行
603259.SH,药明康德
603288.SH,海天味业
603501.SH,韦尔股份
603993.SH,洛阳钼业
688012.SH,中微公司
688041.SH,海光信息
688111.SH,金山办公
688256.SH,寒武纪-U
688981.SH,中芯国际
