000009.SZ,中国宝安
000021.SZ,深科技
000027.SZ,深圳能源
000031.SZ,大悦城
000032.SZ,深桑达Ａ
000039.SZ,中集集团
000050.SZ,深天马Ａ
000060.SZ,中金岭南
000066.SZ,中国长城
000155.SZ,川能动力
000156.SZ,华数传媒
000400.SZ,许继电气
000401.SZ,冀东水泥
000423.SZ,东阿阿胶
000513.SZ,丽珠集团
000519.SZ,中兵红箭
000537.SZ,中绿电
000539.SZ,粤电力Ａ
000559.SZ,万向钱潮
000563.SZ,陕国投Ａ
000591.SZ,太阳能
000598.SZ,兴蓉环境
000623.SZ,吉林敖东
000629.SZ,钒钛股份
000630.SZ,铜陵有色
000636.SZ,风华高科
000683.SZ,远兴能源
000703.SZ,恒逸石化
000709.SZ,河钢股份
000723.SZ,美锦能源
000728.SZ,国元证券
000729.SZ,燕京啤酒
000738.SZ,航发控制
000739.SZ,普洛药业
000750.SZ,国海证券
000778.SZ,新兴铸管
000783.SZ,长江证券
000785.SZ,居然之家
000818.SZ,航锦科技
000825.SZ,太钢不锈
000830.SZ,鲁西化工
000831.SZ,中国稀土
000878.SZ,云南铜业
000883.SZ,湖北能源
000887.SZ,中鼎股份
000893.SZ,亚钾国际
000898.SZ,鞍钢股份
000921.SZ,海信家电
000932.SZ,华菱钢铁
000933.SZ,神火股份
000937.SZ,冀中能源
000958.SZ,电投产融
000959.SZ,首钢股份
000960.SZ,锡业股份
000967.SZ,盈峰环境
000987.SZ,越秀资本
000988.SZ,华工科技
000997.SZ,新 大 陆
000998.SZ,隆平高科
001203.SZ,大中矿业
001227.SZ,兰州银行
001286.SZ,陕西能源
001872.SZ,招商港口
002008.SZ,大族激光
002019.SZ,亿帆医药
002025.SZ,航天电器
002028.SZ,思源电气
002044.SZ,美年健康
002056.SZ,横店东磁
002064.SZ,华峰化学
002065.SZ,东华软件
002078.SZ,太阳纸业
002080.SZ,中材科技
002120.SZ,韵达股份
002128.SZ,电投能源
002138.SZ,顺络电子
002152.SZ,广电运通
002153.SZ,石基信息
002155.SZ,湖南黄金
002156.SZ,通富微电
002185.SZ,华天科技
002195.SZ,岩山科技
002202.SZ,金风科技
002203.SZ,海亮股份
002223.SZ,鱼跃医疗
002240.SZ,盛新锂能
002244.SZ,滨江集团
002261.SZ,拓维信息
002262.SZ,恩华药业
002266.SZ,浙富控股
002268.SZ,电科网安
002273.SZ,水晶光电
002281.SZ,光迅科技
002294.SZ,信立泰
002299.SZ,圣农发展
002340.SZ,格林美
002353.SZ,杰瑞股份
002368.SZ,太极股份
002372.SZ,伟星新材
002373.SZ,千方科技
002384.SZ,东山精密
002385.SZ,大北农
002407.SZ,多氟多
002408.SZ,齐翔腾达
002409.SZ,雅克科技
002414.SZ,高德红外
002423.SZ,中粮资本
002429.SZ,兆驰股份
002430.SZ,杭氧股份
002432.SZ,九安医疗
002436.SZ,兴森科技
002439.SZ,启明星辰
002444.SZ,巨星科技
002465.SZ,海格通信
002472.SZ,双环传动
002487.SZ,大金重工
002497.SZ,雅化集团
002500.SZ,山西证券
002506.SZ,协鑫集成
002507.SZ,涪陵榨菜
002508.SZ,老板电器
002517.SZ,恺英网络
002518.SZ,科士达
002531.SZ,天顺风能
002532.SZ,天山铝业
002557.SZ,洽洽食品
002558.SZ,巨人网络
002563.SZ,森马服饰
002568.SZ,百润股份
002572.SZ,索菲亚
002595.SZ,豪迈科技
002607.SZ,中公教育
002608.SZ,江苏国信
002624.SZ,完美世界
002625.SZ,光启技术
002653.SZ,海思科
002670.SZ,国盛金控
002673.SZ,西部证券
002683.SZ,广东宏大
002690.SZ,美亚光电
002738.SZ,中矿资源
002739.SZ,万达电影
002756.SZ,永兴材料
002791.SZ,坚朗五金
002797.SZ,第一创业
002831.SZ,裕同科技
002850.SZ,科达利
002865.SZ,钧达股份
002867.SZ,周大生
002926.SZ,华西证券
002936.SZ,郑州银行
002939.SZ,长城证券
002945.SZ,华林证券
002958.SZ,青农商行
002966.SZ,苏州银行
002984.SZ,森麒麟
003022.SZ,联泓新科
003031.SZ,中瓷电子
003035.SZ,南网能源
300001.SZ,特锐德
300002.SZ,神州泰岳
300003.SZ,乐普医疗
