000001.SZ,平安银行
000002.SZ,万 科Ａ
000004.SZ,*ST国华
000006.SZ,深振业Ａ
000007.SZ,全新好
000008.SZ,神州高铁
000009.SZ,中国宝安
000010.SZ,美丽生态
000011.SZ,深物业A
000012.SZ,南 玻Ａ
000014.SZ,沙河股份
000016.SZ,深康佳Ａ
000017.SZ,深中华A
000019.SZ,深粮控股
000020.SZ,深华发Ａ
000021.SZ,深科技
000025.SZ,特 力Ａ
000026.SZ,飞亚达
000027.SZ,深圳能源
000028.SZ,国药一致
000029.SZ,深深房Ａ
000030.SZ,富奥股份
000031.SZ,大悦城
000032.SZ,深桑达Ａ
000034.SZ,神州数码
000035.SZ,中国天楹
000036.SZ,华联控股
000037.SZ,深南电A
000039.SZ,中集集团
000042.SZ,中洲控股
000045.SZ,深纺织Ａ
000048.SZ,京基智农
000049.SZ,德赛电池
000050.SZ,深天马Ａ
000055.SZ,方大集团
000056.SZ,皇庭国际
000058.SZ,深 赛 格
000059.SZ,华锦股份
000060.SZ,中金岭南
000061.SZ,农 产 品
000062.SZ,深圳华强
000063.SZ,中兴通讯
000065.SZ,北方国际
000066.SZ,中国长城
000068.SZ,华控赛格
000069.SZ,华侨城Ａ
000070.SZ,ST特信
000078.SZ,海王生物
000088.SZ,盐 田 港
000089.SZ,深圳机场
000090.SZ,天健集团
000096.SZ,广聚能源
000099.SZ,中信海直
000100.SZ,TCL科技
000151.SZ,中成股份
000153.SZ,丰原药业
000155.SZ,川能动力
000156.SZ,华数传媒
000157.SZ,中联重科
000158.SZ,常山北明
000159.SZ,国际实业
000166.SZ,申万宏源
000301.SZ,东方盛虹
000333.SZ,美的集团
000338.SZ,潍柴动力
000400.SZ,许继电气
000401.SZ,冀东水泥
000402.SZ,金 融 街
000403.SZ,派林生物
000404.SZ,长虹华意
000407.SZ,胜利股份
000408.SZ,藏格矿业
000409.SZ,云鼎科技
000410.SZ,沈阳机床
000411.SZ,英特集团
000415.SZ,渤海租赁
000417.SZ,合百集团
000419.SZ,通程控股
000420.SZ,吉林化纤
000421.SZ,南京公用
000422.SZ,湖北宜化
000423.SZ,东阿阿胶
000425.SZ,徐工机械
000426.SZ,兴业银锡
000428.SZ,华天酒店
000429.SZ,粤高速Ａ
000430.SZ,ST张家界
000488.SZ,ST晨鸣
000498.SZ,山东路桥
000501.SZ,武商集团
000503.SZ,国新健康
000504.SZ,*ST生物
000505.SZ,京粮控股
000506.SZ,*ST中润
000507.SZ,珠海港
000509.SZ,华塑控股
000510.SZ,新金路
000513.SZ,丽珠集团
000514.SZ,渝 开 发
000516.SZ,国际医学
000517.SZ,荣安地产
000518.SZ,*ST四环
000519.SZ,中兵红箭
000520.SZ,凤凰航运
000521.SZ,长虹美菱
000523.SZ,红棉股份
000524.SZ,岭南控股
000525.SZ,ST红太阳
000526.SZ,学大教育
000528.SZ,柳 工
000529.SZ,广弘控股
000530.SZ,冰山冷热
000531.SZ,穗恒运Ａ
000532.SZ,华金资本
000533.SZ,顺钠股份
000534.SZ,万泽股份
000536.SZ,华映科技
000537.SZ,中绿电
000538.SZ,云南白药
000539.SZ,粤电力Ａ
000541.SZ,佛山照明
000543.SZ,皖能电力
000544.SZ,中原环保
000545.SZ,金浦钛业
000546.SZ,金圆股份
000547.SZ,航天发展
000548.SZ,湖南投资
000550.SZ,江铃汽车
000551.SZ,创元科技
000552.SZ,甘肃能化
000553.SZ,安道麦A
000554.SZ,泰山石油
000555.SZ,神州信息
000557.SZ,西部创业
000558.SZ,天府文旅
000559.SZ,万向钱潮
000560.SZ,我爱我家
000561.SZ,烽火电子
000563.SZ,陕国投Ａ
000564.SZ,供销大集
000565.SZ,渝三峡Ａ
000566.SZ,海南海药
000567.SZ,海德股份
000568.SZ,泸州老窖
000570.SZ,苏常柴Ａ
000571.SZ,新大洲A
000572.SZ,海马汽车
000573.SZ,粤宏远Ａ
000576.SZ,甘化科工
000581.SZ,威孚高科
000582.SZ,北部湾港
000584.SZ,*ST工智
000586.SZ,汇源通信
000589.SZ,贵州轮胎
000590.SZ,启迪药业
000591.SZ,太阳能
000592.SZ,平潭发展
000593.SZ,德龙汇能
000595.SZ,*ST宝实
000596.SZ,古井贡酒
000597.SZ,东北制药
000598.SZ,兴蓉环境
000599.SZ,青岛双星
000600.SZ,建投能源
000601.SZ,韶能股份
000603.SZ,盛达资源
000605.SZ,渤海股份
000607.SZ,华媒控股
000608.SZ,*ST阳光
000609.SZ,*ST中迪
000610.SZ,西安旅游
000612.SZ,焦作万方
000615.SZ,*ST美谷
000617.SZ,中油资本
000619.SZ,海螺新材
000620.SZ,新华联
000622.SZ,*ST恒立
000623.SZ,吉林敖东
000625.SZ,长安汽车
000626.SZ,远大控股
000627.SZ,天茂集团
000628.SZ,高新发展
000629.SZ,钒钛股份
000630.SZ,铜陵有色
000631.SZ,顺发恒业
000632.SZ,三木集团
000633.SZ,合金投资
000635.SZ,英 力 特
000636.SZ,风华高科
000637.SZ,茂化实华
000638.SZ,*ST万方
000639.SZ,西王食品
000650.SZ,仁和药业
000651.SZ,格力电器
000652.SZ,泰达股份
000655.SZ,金岭矿业
000656.SZ,*ST金科
000657.SZ,中钨高新
000659.SZ,珠海中富
000661.SZ,长春高新
000663.SZ,永安林业
000665.SZ,湖北广电
000668.SZ,*ST荣控
000669.SZ,ST金鸿
000670.SZ,盈方微
000672.SZ,上峰水泥
000676.SZ,智度股份
000677.SZ,恒天海龙
000678.SZ,襄阳轴承
000679.SZ,大连友谊
000680.SZ,山推股份
000681.SZ,视觉中国
000682.SZ,东方电子
000683.SZ,博源化工
000685.SZ,中山公用
000686.SZ,东北证券
000688.SZ,国城矿业
000690.SZ,宝新能源
000691.SZ,*ST亚太
000692.SZ,惠天热电
000695.SZ,滨海能源
000697.SZ,ST炼石
000698.SZ,沈阳化工
000700.SZ,模塑科技
000701.SZ,厦门信达
000702.SZ,正虹科技
000703.SZ,恒逸石化
000705.SZ,浙江震元
000707.SZ,双环科技
000708.SZ,中信特钢
000709.SZ,河钢股份
000710.SZ,贝瑞基因
000711.SZ,*ST京蓝
000712.SZ,锦龙股份
000713.SZ,丰乐种业
000715.SZ,中兴商业
000716.SZ,黑芝麻
000717.SZ,中南股份
000718.SZ,苏宁环球
000719.SZ,中原传媒
000720.SZ,新能泰山
000721.SZ,西安饮食
000722.SZ,湖南发展
000723.SZ,美锦能源
000725.SZ,京东方Ａ
000726.SZ,鲁 泰Ａ
000727.SZ,冠捷科技
000728.SZ,国元证券
000729.SZ,燕京啤酒
000731.SZ,四川美丰
000733.SZ,振华科技
000735.SZ,罗 牛 山
000736.SZ,*ST中地
000737.SZ,北方铜业
000738.SZ,航发控制
000739.SZ,普洛药业
000750.SZ,国海证券
000751.SZ,锌业股份
000752.SZ,ST西发
000753.SZ,漳州发展
000755.SZ,山西高速
000756.SZ,新华制药
000757.SZ,浩物股份
000758.SZ,中色股份
000759.SZ,中百集团
